Start,End
"00,59,32","01,00,14"
"01,00,24","01,01,15"
"01,01,35","01,01,40"
"01,01,48","01,02,17"
"01,05,06","01,05,46"
"01,06,03","01,07,10"
"01,07,38","01,11,49"
"01,12,36","01,13,03"
"01,13,14","01,13,27"
"01,13,49","01,13,53"
"01,13,57","01,14,13"
"01,14,31","01,15,03"
"01,15,09","01,15,10"
"01,15,37","01,15,38"
"01,15,41","01,15,45"
"01,16,14","01,16,30"
"01,16,31","01,17,16"
"01,17,18","01,17,35"
"01,17,39","01,18,03"
"01,18,11","01,18,20"
"01,18,21","01,18,47"
"01,18,48","01,19,06"
"01,19,07","01,19,40"
"01,19,44","01,19,51"
"01,19,56","01,20,28"
"01,20,32","01,20,52"
"01,28,04","01,28,09"
"01,29,26","01,29,27"
"01,29,28","01,29,48"
"01,29,28","01,29,48"
"01,30,33","01,31,06"
"01,31,07","01,31,14"
"01,31,53","01,31,59"
"01,32,06","01,32,26"
"01,32,29","01,32,44"
"01,32,46","01,32,49"
"01,33,43","01,33,59"
"01,34,31","01,34,42"
"01,34,45","01,34,57"
"01,35,13","01,35,30"
"01,35,32","01,35,45"
"01,35,54","01,35,55"
"01,35,54","01,35,55"
"01,37,07","01,37,12"
"01,38,11","01,38,28"
"01,38,59","01,39,04"
"01,39,25","01,39,57"
"01,39,59","01,39,41"
"01,41,01","01,41,17"
"01,42,15","01,42,20"
"01,42,21","01,43,08"
